Position,Track Name,Artist,Streams,URL,Year,Month,Track ID
131,bellyache,Billie Eilish,52149,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,2019,01,51NFxnQvaosfDDutk0tams
132,Jackie Chan,Tiësto,52052,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,2019,01,4kWO6O1BUXcZmaxitpVUwp
133,Electricity (with Dua Lipa),Silk City,51799,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,2019,01,5N4erncE7kuUccm7zEmwzk
134,Sugar,Peking Duk,51558,https://open.spotify.com/track/1GLM0M9DA62xZsyp2UNq7i,2019,01,2ePtv8MlBO9nuuXABqAfEX
135,Thinking out Loud,Ed Sheeran,51509,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,2019,01,34gCuhDGsG4bRPIf9bb02f
136,come out and play,Billie Eilish,51393,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4,2019,01,7wC5eZcFS1Q1BsQ35DU6H4
137,No Brainer,DJ Khaled,51184,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8,2019,01,5WvAo7DNuPRmk4APhdPzi8
138,Don't Stop Me Now - Remastered 2011,Queen,51124,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019,01,7hQJA50XrCWABAu5v6QZ4i
139,Kiss and Make Up,Dua Lipa,50785,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,01,7jr3iPu4O4bTCVwLMbdU2i
140,Too Good At Goodbyes,Sam Smith,50710,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019,01,3VlbOrM6nYPprVvzBZllE5
141,Lucky You (feat. Joyner Lucas),Eminem,50402,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,2019,01,60SdxE8apGAxMiRrpbmLY0
142,Natural,Imagine Dragons,50153,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019,01,2FY7b99s15jUprqC0M5NCT
143,Closer,The Chainsmokers,49952,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2019,01,7BKLCZ1jbUBVqRi2FVlTVw
144,Let Me Down Slowly,Alec Benjamin,49357,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019,01,2qxmye6gAegTMjLKEBoR3d
145,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,49301,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019,01,0jAfdqv18goRTUxm3ilRjb
146,Rivers,SIX60,49260,https://open.spotify.com/track/25qfmrJIuw6TAvXoZ0phzb,2019,01,7d1GPc45c9wtmYxNSwLXTy
147,One Kiss (with Dua Lipa),Calvin Harris,49092,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019,01,7ef4DlsgrMEH11cDZd32M6
148,God is a woman,Ariana Grande,49024,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,2019,01,5OCJzvD7sykQEKHH7qAC3C
149,HUMBLE.,Kendrick Lamar,48599,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2019,01,7KXjTSCq5nL1LoYtL7XAwS
150,Everywhere - 2017 Remaster,Fleetwood Mac,48582,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq,2019,01,254bXAqt3zP6P50BdQvEsq
151,Sweet Home Alabama,Lynyrd Skynyrd,48523,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,2019,01,7e89621JPkKaeDSTQ3avtg
152,No Role Modelz,J. Cole,48211,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,2019,01,62vpWI1CHwFy7tMIcSStl8
153,BAD!,XXXTENTACION,47788,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,2019,01,43CIWpJaJHRcI4mUSjqgc2
154,The Chain - 2004 Remaster,Fleetwood Mac,47662,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU,2019,01,5e9TFTbltYBg2xThimr0rU
155,Only To Be,SIX60,47616,https://open.spotify.com/track/1yaFHifoHlN5MEtL5YEgA4,2019,01,09HN59mQtAlKYzM2i5sGbO
156,Believer,Imagine Dragons,47266,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019,01,0pqnGHJpmpxLKifKRmU6WP
157,Happy Now,Zedd,47174,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,2019,01,4keoy2fqgwGnbWlm3ZVZFa
158,OTW,Khalid,46491,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI,2019,01,6Hgh47WXVKtXN5zGOu0hjI
159,"Fire On Fire - From ""Watership Down""",Sam Smith,46462,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND,2019,01,5rFj8OzffT0iggSjcBaeND
160,Armed And Dangerous,Juice WRLD,46430,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,2019,01,5wujBwqG7INdStqGd4tRMX
161,I'm Yours,Jason Mraz,46370,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,2019,01,1EzrEOXmMH3G43AXT1y7pA
162,Suncity (feat. Empress Of),Khalid,46344,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN,2019,01,6SkHm6poyKfzV6kc9any8k
163,Tennessee Whiskey,Chris Stapleton,46058,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx,2019,01,3fqwjXwUGN6vbzIwvyFMhx
164,Splashin,Rich The Kid,45986,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,2019,01,3KLo7ByvjCNyBrfz5DZ2mO
165,Brown Eyed Girl,Van Morrison,45957,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul,2019,01,3yrSvpt2l1xhsV9Em88Pul
166,Happy Now,Kygo,45878,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2019,01,4keoy2fqgwGnbWlm3ZVZFa
167,Born To Be Yours,Kygo,45856,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM,2019,01,0WVAQaxrT0wsGEG4BCVSn2
