Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
124,Havana (feat. Young Thug),Camila Cabello,53386,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019,1,1rfofaqEpACxVEHIZBJe6W,0.765,0.523,0.394
125,Bright Blue Skies,Mitch James,53104,https://open.spotify.com/track/5zxwumO0laRosoeOvbVSvc,2019,1,5zxwumO0laRosoeOvbVSvc,0.799,0.373,0.534
126,Pure Water (with Migos),Mustard,53063,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019,1,3j84U36KvLeXNDPv4t5pI8,0.682,0.559,0.137
127,Old News,Mitch James,52906,https://open.spotify.com/track/6o2bqHKLjiuVsa5vUvneAp,2019,1,1Ib6RGb1Wmdl0r7D9PY36i,0.458,0.609,0.557
128,Nonstop,Drake,52673,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019,1,0TlLq3lA83rQOYtrqBqSct,0.912,0.412,0.423
129,Under Pressure - Remastered 2011,Queen,52376,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2019,1,11IzgLRXV7Cgek3tEgGgjw,0.671,0.711,0.466
130,Don't Stop Believin',Journey,52232,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,2019,1,4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,0.514
131,bellyache,Billie Eilish,52149,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,2019,1,51NFxnQvaosfDDutk0tams,0.695,0.573,0.408
132,Jackie Chan,Tiësto,52052,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,2019,1,4kWO6O1BUXcZmaxitpVUwp,0.747,0.834,0.687
133,Electricity (with Dua Lipa),Silk City,51799,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,2019,1,5N4erncE7kuUccm7zEmwzk,0.588,0.67,0.505
