Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
6,11:00 PM,Maluma,3215341,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019,8,0hRURtzeNDUgJUzYDoGuBm,0.752,0.0411,0.947
7,Soltera (Remix),Lunay,2776663,https://open.spotify.com/track/2qMnZF5Ja2WvmfbblByQza,2019,8,1c0hsvHLELX6y8qymnpLKL,0.795,0.783,0.799
8,Señorita,Shawn Mendes,2717503,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019,8,0TK2YIli7K1leLovkQiNik,0.759,0.54,0.75
9,QUE PRETENDES,J Balvin,2622663,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019,8,25ZAibhr3bdlMCLmubZDVt,0.639,0.791,0.939
10,Con Altura,ROSALÍA,2523758,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019,8,2qG5sZ7Si6sdK74qLxedYM,0.882,0.689,0.746
11,Otro Trago,Sech,2473402,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019,8,4bTZeO72FwMa6wKOiqoynL,0.725,0.79,0.763
12,Otro Trago - Remix,Sech,2411542,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019,8,4bTZeO72FwMa6wKOiqoynL,0.725,0.79,0.763
13,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2086265,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019,8,6osaMSJh9NguagEDQcZaKx,0.694,0.758,0.371
14,Tra Tra Tra Remix - Remix,Ghetto Kids,2011980,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm,2019,8,4YqCBC4FwzGXuhixt5cgmm,0.847,0.736,0.876
15,"Yo x Ti, Tu x Mi",ROSALÍA,2006971,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,2019,8,7BlBVFwvbWvcwNcUarQmjk,0.78,0.759,0.579
16,Chicharrón,Guaynaa,1949552,https://open.spotify.com/track/5UVa8Qqb9L1dVxl3jKQ5J1,2019,8,5UVa8Qqb9L1dVxl3jKQ5J1,0.734,0.789,0.811
17,Baila Conmigo (feat. Kelly Ruiz),Dayvi,1940169,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,2019,8,4Clmg1g8n2yBYG13Z1oSdG,0.745,0.972,0.556
18,Tal Vez,Paulo Londra,1848113,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019,8,7Aiq4g8tSExAM2qUNkiHbZ,0.385,0.645,0.561
19,Bellacoso,Residente,1742391,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S,2019,8,1kMUGCt7XLDc5Q64Vl0H8S,0.774,0.851,0.695
20,HP,Maluma,1664780,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,2019,8,1LIqNVhaIgxXUt2eVoIQJ3,0.837,0.791,0.618
