Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
17,SENTADÃO,PEDRO SAMPAIO,2052005,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,2020,4,4lKuzrdZrJuCAedbIslF3A,0.68,0.869,0.924
18,Dance Monkey,Tones And I,1996538,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020,4,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,0.513
19,Cheirosa - Ao Vivo,Jorge & Mateus,1965484,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,2020,4,2PWjKmjyTZeDpmOUa3a5da,0.528,0.87,0.714
20,Break My Heart,Dua Lipa,1905088,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020,4,017PF4Q3l4DBUiWoXk4OWT,0.73,0.729,0.467
21,THE SCOTTS,THE SCOTTS,1896190,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,2020,4,39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0.28
22,Barzinho Aleatório - Ao Vivo,Zé Neto & Cristiano,1873971,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0,2020,4,3WjSkl7VDWY1prwJw7dSG0,0.394,0.918,0.588
23,3 Batidas - Ao Vivo,Guilherme & Benuto,1871921,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k,2020,4,1uryupl9hqVZYurJwH4G9k,0.552,0.709,0.527
24,Supera - Ao Vivo,Marília Mendonça,1829350,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,2020,4,3GmJxfnUDrIs1iCfKUELFz,0.665,0.743,0.658
25,death bed (coffee for your head),Powfu,1761348,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020,4,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,0.348
26,Vem Me Satisfazer,MC Ingryd,1741538,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,2020,4,63SHcJzckFykS8faA5zojY,0.862,0.561,0.541
27,Mentira - Ao Vivo,Felipe Araújo,1721270,https://open.spotify.com/track/146Vb458Y5RbqEa0fYFPzm,2020,4,30f5nsTxRCnLwECbYYPYmF,0.543,0.756,0.569
28,Blinding Lights,The Weeknd,1664075,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020,4,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,0.334
29,BALANÇA (feat. Pedro Sampaio),WC no Beat,1648812,https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy,2020,4,4p8pEdPYOQLzJUKYrLOacy,0.696,0.716,0.469
30,Briga Feia - Ao Vivo,Henrique & Juliano,1579462,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk,2020,4,3Xuo5utyzk86BwlUHdTR2O,0.589,0.846,0.565
31,menina solta,Giulia Be,1561045,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1,2020,4,2MOq63fxuFLYQM3CsDcFs1,0.632,0.559,0.674
